0.64,4.66,0.23,2.87,0.23,0.24,0.08,1.64,0.57,1.16,0.03,50.42,973.28,2821.44,257.52,166.57,0.21,4.24,0.4,0,0.16,0,0.27,0.58,8.84,0.26,5.26,0,0,7.69,0,6.58,0.32,0.25,0.92,19.88,0.44,0.31,0.77,0.25,0.43,0.16,0.03,0.42,0.03,0.32,9.43,4.51,1.54,1.76,0,0.52
1.52,4.92,0,5.26,0.04,0.28,0.37,3.87,1.92,1.2,0.09,59.65,1031.55,3826.19,240.73,191.51,0.18,1.06,0.82,0,0.04,0,0.3,0.58,2.81,0.02,1.78,0,5.95,8.73,0,2.07,0.87,0.06,0.59,11.28,0.82,0.36,1.05,0.3,0.19,0.66,1.38,0.07,0.05,0,0.84,1.91,0.55,0.39,0,0.58
3.8,3.44,0,3.33,0.08,0.08,1.71,1.77,0.74,0.85,0.04,9.19,1016.58,2141.76,275.95,130.85,0.25,1.19,0.58,0.28,0,0,0.09,0.47,1.12,0.06,0.14,0,1.59,4.48,0,0.08,0.03,0.19,1.75,3.09,0.75,0,0.24,0.07,0.76,0.16,0.28,1.19,0.06,0,2.08,4.47,0.04,0.14,0,0.04
1.11,7.82,4.85,5.21,0.02,0.2,0.15,3.72,0.92,1.56,0.21,0.53,1010.98,3950.6,489.97,183.5,0,0.42,0.94,0,0.06,0,0.75,0.67,1.87,0.06,3.48,0,2.09,5.78,0,0.32,0.7,0.52,0.91,33.22,1.25,0.22,0.82,0.43,1.28,0,0.82,0.46,0.13,0,2.16,2.8,0,0.35,0,0
1.01,7.29,7.1,4.2,0,0.33,0.21,3.27,0.74,1.77,0.02,5.61,953.13,5203.29,220.25,180.68,0,0.45,0.49,0.31,0.17,0,1.22,0.63,1.82,0,3.85,0,8.07,12.15,0,0.92,2.1,0.25,2.96,9.38,0.17,0.44,1.41,0.16,0.26,0,0.81,1.06,0.14,0,3.46,5.01,0.37,0.29,0,0.2
2.74,2.6,0,3.44,0,0.14,0.3,1.91,0.62,0.51,0.01,26.81,844.43,2110.61,282.18,109.06,0,0.13,0.35,0.32,0.09,0,0.98,0.56,1.68,0.06,0.51,0,2.87,8.15,0,0.15,0.45,0.48,0.28,9.26,0.38,0.2,0.92,0.23,0.23,0,0.33,0.06,0.09,0,0.38,1.25,0.02,0.16,0,0.22
0.82,5.82,0.45,4.67,0,0.11,0.06,1.5,0.99,1.43,0,9.19,1226.64,4095.55,301.9,147.01,0,0.7,0.58,0,0,0,4.09,0.73,6.49,0,0.37,0,0.68,1.29,0,0.58,0,0.08,0.87,6.47,0.35,0.22,0.74,0.06,0.17,0,0.05,0.7,0.01,0,9.52,4.64,0,0.31,0,0
0.7,8.55,6.16,6.58,0,0.14,0.14,4.27,1.7,1.73,0.24,70.53,1157.13,4656.22,397.79,146.09,0,0.29,0.68,0,0.02,0,0.74,0.77,3.71,0,0,0,5.6,9.39,0,0.56,1.25,0.01,0.37,6.76,0.79,0.2,1.09,0.29,0.17,0.22,1.32,0.06,0.05,0,1.46,2.87,0.25,0.21,0,0.02
1.01,5.39,0.25,5.45,0,0.14,0.1,4.3,1.32,1.29,0.01,0.07,1131.3,4041.92,342.79,147.25,0.23,1.65,1.05,0,0,0,0.01,0.35,1.7,0.04,0.92,0,0,3.94,0,0.27,0.6,0.09,0.58,29.02,1.09,0.21,0.69,0.34,1.01,0.49,0.63,0.45,0.07,0.06,2.43,2.06,0,0.26,0,0
1.03,7.83,0.71,4.99,0.19,0.24,0.26,4.09,0.52,1.99,0.04,8.09,1066.75,5767.6,156.04,138.07,0,1.88,0.6,0.33,0,0.02,0.37,0.54,2.03,0.01,1.72,0,5.76,8.37,0,4.36,4.34,0.16,2.6,15.14,0.42,0.35,0.93,0.23,0.25,0.53,0.98,0.92,0.05,0.15,3.09,4.9,1.48,0.63,0,0.37
2.52,2.17,0,3.01,0,0.11,0.25,1.67,0.65,0.51,0,35.01,635.78,1778.24,196.21,81.24,0,1.74,0.31,0.22,0,0,0.36,0.35,2.32,0.02,0.26,0,1.73,4.39,0,0.55,0.62,0.28,0.31,11.05,0.25,0.14,0.49,0.32,0.11,0.16,0.16,0.09,0.03,0.05,1.34,1.12,0,0.26,0,0.14
1.18,5.21,0.17,5.39,0,0.07,0.04,1.8,1.35,1.46,0,6.57,1408.63,4318.67,200.46,118.98,0,4.21,0.67,0,0,0,1.73,0.39,7.33,0.05,1.49,0,1.14,1.93,0,3.46,0.53,0.12,1.41,16.99,0.44,0.16,0.52,0.37,0.22,0.23,0.02,1.36,0.03,0.28,10.79,5.37,0.39,0.68,0,0.34
1.56,7.74,1.59,6.74,0.12,0.18,0.19,4.82,1.1,1.72,0.02,124.88,1341.65,4882.09,252.72,137.75,0,1.72,0.87,0,0.01,0,0.08,0.67,2.83,0,2.01,0,0,6.86,0,1.94,1.68,0.07,0.36,14.47,0.44,0.15,0.67,0.33,0.05,0.49,0.78,0.06,0.03,0,1.01,2.24,0.43,0.34,0,0.08
0.84,5.22,0.46,5.28,0,0.14,0.25,5.01,1.18,1.21,0.05,0.99,1432.62,4530.73,399.6,190.58,0.06,0,0.91,0,0,0,0.13,0.93,1.79,0,1,0,0,4.53,0,0.52,0.75,0.12,0.45,29.24,0.78,0.29,0.95,0.31,2.21,0.53,1.02,0.47,0.08,0,2.13,1.91,0.15,0.27,0,0
0.75,4.99,0.55,3.65,0.05,0.5,0.18,3.15,1.09,1.22,0.02,16.21,1271.33,4813.79,109.55,136.44,0,0,0.53,0.25,0.03,0,0.16,0.89,1.71,0.06,1.36,0,3.88,4.25,0,3.19,1.75,0.1,2.01,12.09,0.48,0.25,0.83,0.09,0.85,0.35,0.81,0.66,0.06,0.13,2.55,3.54,1.32,0.6,0,0.31
2.08,1.53,0,3.1,0,0.11,0.23,1.67,0.56,0.37,0.03,38.06,523.33,1465.78,159.61,71.6,2.11,0.02,0.24,0,0.31,0,0.28,0.75,1.53,0,0.18,0,0.76,2.02,0,0.17,0.61,0.14,0.21,7.97,0.24,0.14,0.32,0.1,0.14,0,0.16,0,0.02,0,0.24,0.8,0,0.07,0,0.13
1.23,4.77,0.11,4.74,0.49,0.4,0.05,2.43,0.74,1.15,0.05,99.3,1570.66,4431.08,228.73,156.44,0.02,2.83,0.66,0,0.11,0,1.4,0.59,9.76,0.26,3.74,0,0,5.74,0,7.13,0.72,0.37,1.46,22.32,0.55,0.28,0.58,0.41,0.28,0,0.05,0.78,0.09,0.37,11.72,4.08,1.47,1.66,0,0.4
