1.63,2.50,1.44,0.83,2.83,7.83,0.041,0.090,6.16,12.22,0.031,0.29,16.33,0.021,3.13,43.64,0.17,0.040,3.40,7.98,0.13,67.74,0.108,78.30,0.05,4.12,0.0105,7.22
0.57,6.94,0.68,0.21,5.62,25.90,0.119,0.074,8.98,0.35,0.023,0.25,0.09,0.022,7.93,31.93,0.12,0.014,4.30,7.98,0.14,48.24,0.044,42.33,0.03,1.36,0.0096,35.20
3.08,15.65,3.82,1.66,8.03,22.18,0.573,0.058,9.70,0.77,0.063,1.22,0.13,0.202,3.77,65.88,2.49,0.069,9.40,26.20,4.11,264.81,0.178,252.49,1.09,13.64,0.0239,40.26
6.10,66.71,3.25,2.09,27.52,70.16,1.616,0.876,31.65,0.62,0.025,0.27,0.19,0.003,1.25,44.56,0.56,0.012,13.88,4.05,1.49,169.84,0.183,238.77,0.80,8.65,0.0125,84.77
0.66,1.43,1.12,0.28,5.54,8.92,0.057,0.179,1.70,0.28,0.014,0.12,0.06,0.024,1.36,20.81,0.04,0.006,1.91,4.83,1.03,119.89,0.061,277.91,1.43,3.89,0.0039,3.04
0.98,13.93,2.00,0.48,12.17,65.52,0.031,0.158,12.51,0.58,0.024,0.46,0.13,0.010,3.15,68.47,0.23,0.018,4.07,19.33,6.40,133.30,0.074,118.57,2.92,9.24,0.0085,36.61
1.77,35.53,1.21,0.42,25.44,73.24,0.442,0.385,11.17,0.34,0.011,0.14,0.07,0.002,0.64,26.90,0.96,0.003,6.78,18.93,2.47,141.52,0.041,79.21,0.93,12.30,0.0037,53.29
0.80,11.81,0.79,0.23,29.06,126.87,0.206,0.400,10.09,0.44,0.013,0.24,0.12,0.058,3.05,54.35,0.17,0.007,4.28,12.96,1.83,118.02,0.089,133.21,0.57,3.94,0.0833,50.01
3.20,8.70,3.91,2.05,4.80,16.76,0.119,0.071,9.86,9.67,0.119,0.55,3.42,0.044,2.77,124.15,1.50,0.172,4.21,84.03,2.57,195.42,0.185,93.11,3.81,19.37,0.0096,28.80
1.19,16.63,0.76,0.37,17.86,50.93,0.152,0.218,8.56,7.07,0.045,0.24,2.09,0.453,0.83,35.51,1.05,0.004,3.09,37.01,5.24,151.69,0.069,57.23,1.52,3.25,0.0080,31.53
1.29,11.61,1.20,0.39,22.94,67.86,0.107,0.297,8.64,5.58,0.055,0.34,2.20,0.115,1.76,43.53,0.59,0.006,2.73,19.57,1.08,178.00,0.053,143.40,0.96,4.59,0.0402,19.07
2.21,15.90,2.37,0.91,4.45,17.23,0.076,0.101,21.44,1.88,0.203,0.23,0.45,0.040,1.07,82.62,0.78,0.049,3.37,19.27,0.19,106.33,0.080,106.62,0.01,7.62,0.0095,8.23
